127.0.0.1, 2013-07-19 21:17:39, GET, /AnnotatIt/member/my_media, HTTP/1.1, 200, 0.461704
127.0.0.1, 2013-07-19 21:17:39, GET, /AnnotatIt/static/css/ext_lib/chosen.css, HTTP/1.1, 200, 0.000622
127.0.0.1, 2013-07-19 21:17:39, GET, /AnnotatIt/static/css/ext_lib/bootstrap-timepicker.css, HTTP/1.1, 200, 0.000517
127.0.0.1, 2013-07-19 21:17:39, GET, /AnnotatIt/static/css/ext_lib/daterangepicker.css, HTTP/1.1, 200, 0.000477
127.0.0.1, 2013-07-19 21:17:39, GET, /AnnotatIt/static/css/ext_lib/ace-fonts.css, HTTP/1.1, 200, 0.000492
127.0.0.1, 2013-07-19 21:17:39, GET, /AnnotatIt/static/css/ext_lib/colorpicker.css, HTTP/1.1, 200, 0.001609
127.0.0.1, 2013-07-19 21:17:39, GET, /AnnotatIt/static/css/ext_lib/datepicker.css, HTTP/1.1, 200, 0.000632
127.0.0.1, 2013-07-19 21:17:39, GET, /AnnotatIt/static/css/ext_lib/ace.min.css, HTTP/1.1, 200, 0.002364
127.0.0.1, 2013-07-19 21:17:39, GET, /AnnotatIt/static/js/ext_lib/ace-elements.min.js, HTTP/1.1, 200, 0.001109
127.0.0.1, 2013-07-19 21:17:39, GET, /AnnotatIt/static/js/ext_lib/ace.min.js, HTTP/1.1, 200, 0.000731
127.0.0.1, 2013-07-19 21:17:39, GET, /AnnotatIt/static/css/ext_lib/ace-skins.min.css, HTTP/1.1, 200, 0.002353
127.0.0.1, 2013-07-19 21:17:39, GET, /AnnotatIt/static/css/ext_lib/ace-responsive.min.css, HTTP/1.1, 200, 0.000767
127.0.0.1, 2013-07-19 21:17:40, GET, /AnnotatIt/member/assets/avatars/user.jpg, HTTP/1.1, 404, 0.034959
127.0.0.1, 2013-07-19 21:17:40, GET, /AnnotatIt/static/css/font/DXI1ORHCpsQm3Vp6mXoaTXhCUOGz7vYGh680lGh-uXM.woff, HTTP/1.1, 200, 0.000338
